age,workclass,education,occupation,sex,hours.per.week,capital.investment-loss,income
61,Self-emp-not-inc,Prof-school,Prof-specialty,Male,35,1869.366188,>50K
67,Local-gov,HS-grad,Other-service,Female,24,1869.366188,<=50K
40,State-gov,Assoc-acdm,Adm-clerical,Male,40,1869.366188,>50K
27,Private,5th-6th,Farming-fishing,Male,35,1869.366188,<=50K
37,Private,1st-4th,Machine-op-inspct,Male,40,1869.366188,<=50K
57,Private,Some-college,Exec-managerial,Male,50,1869.366188,>50K
27,Private,10th,Other-service,Female,40,1869.366188,<=50K
34,Self-emp-inc,Bachelors,Prof-specialty,Male,60,1869.366188,>50K
52,Private,HS-grad,Other-service,Female,38,1869.366188,<=50K
55,Self-emp-not-inc,Prof-school,Prof-specialty,Female,10,1869.366188,<=50K
71,Self-emp-inc,HS-grad,Adm-clerical,Female,20,1869.366188,>50K
33,Private,Some-college,Machine-op-inspct,Male,40,1869.366188,<=50K
30,Private,HS-grad,Sales,Male,40,1869.366188,<=50K
35,Private,Bachelors,Exec-managerial,Male,55,1869.366188,>50K
59,Private,10th,Adm-clerical,Female,40,1869.366188,<=50K
19,Private,Some-college,Handlers-cleaners,Male,20,1869.366188,<=50K
36,Self-emp-not-inc,9th,Craft-repair,Male,30,1869.366188,<=50K
26,Self-emp-not-inc,HS-grad,Sales,Male,40,1869.366188,<=50K
41,Private,HS-grad,Craft-repair,Male,40,1869.366188,>50K
47,Private,HS-grad,Craft-repair,Male,48,1869.366188,<=50K
18,Private,Some-college,Sales,Male,16,1869.366188,<=50K
55,Self-emp-not-inc,10th,Craft-repair,Male,18,1869.366188,<=50K
62,Private,7th-8th,Protective-serv,Male,40,1869.366188,<=50K
44,Private,HS-grad,Handlers-cleaners,Male,40,1869.366188,<=50K
50,Self-emp-inc,Some-college,Sales,Male,60,1869.366188,>50K
35,Private,11th,Sales,Male,45,1869.366188,<=50K
52,Private,HS-grad,Adm-clerical,Male,40,1869.366188,<=50K
43,Private,Some-college,Exec-managerial,Male,50,1869.366188,<=50K
47,Private,Assoc-acdm,Adm-clerical,Female,40,1869.366188,>50K
43,Private,Masters,Exec-managerial,Male,50,1869.366188,<=50K
27,Federal-gov,Some-college,Craft-repair,Male,50,1869.366188,<=50K
32,Private,HS-grad,Transport-moving,Male,40,1869.366188,<=50K
37,Private,HS-grad,Other-service,Female,12,1869.366188,<=50K
26,Private,HS-grad,Machine-op-inspct,Male,60,1869.366188,<=50K
20,Self-emp-not-inc,HS-grad,Transport-moving,Male,80,1869.366188,<=50K
43,Private,HS-grad,Other-service,Female,45,1869.366188,<=50K
53,Private,9th,Other-service,Female,36,1869.366188,<=50K
44,Private,Doctorate,Prof-specialty,Male,40,1869.366188,>50K
19,Private,HS-grad,Sales,Male,50,1869.366188,<=50K
44,Private,Some-college,Sales,Male,50,1869.366188,<=50K
49,Private,HS-grad,Exec-managerial,Female,43,1869.366188,<=50K
35,Private,Some-college,Handlers-cleaners,Male,40,1869.366188,<=50K
44,Private,HS-grad,Craft-repair,Male,45,1869.366188,<=50K
54,Private,Masters,Prof-specialty,Male,60,1869.366188,<=50K
37,Private,Some-college,Adm-clerical,Female,35,1869.366188,<=50K
18,Private,Some-college,Other-service,Female,15,1869.366188,<=50K
24,Private,Some-college,Handlers-cleaners,Male,40,1869.366188,<=50K
29,Private,HS-grad,Craft-repair,Female,50,1869.366188,<=50K
56,Private,HS-grad,Craft-repair,Male,48,1869.366188,>50K
24,Private,Bachelors,Machine-op-inspct,Male,45,1869.366188,<=50K
73,Private,HS-grad,Sales,Female,15,1869.366188,<=50K
47,Federal-gov,Some-college,Craft-repair,Male,40,1869.366188,<=50K
49,Private,12th,Machine-op-inspct,Male,39,1869.366188,<=50K
39,Private,Some-college,Adm-clerical,Female,40,1869.366188,<=50K
41,Private,Masters,Prof-specialty,Male,45,1869.366188,>50K
38,Private,HS-grad,Transport-moving,Male,45,1869.366188,<=50K
31,Private,HS-grad,Adm-clerical,Female,40,1869.366188,<=50K
51,Local-gov,HS-grad,Protective-serv,Male,70,1869.366188,<=50K
38,Private,Bachelors,Sales,Male,48,1869.366188,>50K
40,Local-gov,Some-college,Exec-managerial,Male,42,1869.366188,>50K
44,Private,Some-college,Craft-repair,Male,40,1869.366188,<=50K
29,Private,HS-grad,Sales,Male,45,1869.366188,<=50K
49,Private,Masters,Prof-specialty,Female,50,1869.366188,>50K
31,Private,Assoc-voc,Other-service,Male,42,1869.366188,<=50K
46,Private,Some-college,Exec-managerial,Male,40,1869.366188,<=50K
35,Private,Bachelors,Other-service,Male,38,1869.366188,<=50K
27,Private,Assoc-voc,Sales,Male,50,1869.366188,<=50K
45,Private,Bachelors,Other-service,Male,45,1869.366188,>50K
57,Local-gov,HS-grad,Transport-moving,Male,72,1869.366188,<=50K
45,Private,11th,Other-service,Female,32,1869.366188,<=50K
50,Private,7th-8th,Craft-repair,Female,30,1869.366188,<=50K
38,Private,Bachelors,Adm-clerical,Female,40,1869.366188,<=50K
43,Self-emp-not-inc,Some-college,Craft-repair,Male,60,1869.366188,<=50K
42,Private,Some-college,Exec-managerial,Female,55,1869.366188,<=50K
32,Private,Bachelors,Prof-specialty,Male,40,1869.366188,<=50K
20,Private,HS-grad,Adm-clerical,Female,40,1869.366188,<=50K
27,Private,HS-grad,Other-service,Female,35,1869.366188,<=50K
45,Private,11th,Adm-clerical,Female,40,1869.366188,<=50K
40,Private,HS-grad,Machine-op-inspct,Female,40,1869.366188,<=50K
38,Private,HS-grad,Transport-moving,Male,60,1869.366188,<=50K
37,Private,HS-grad,Adm-clerical,Female,40,1869.366188,<=50K
60,Private,10th,Machine-op-inspct,Female,40,1869.366188,<=50K
53,Self-emp-not-inc,HS-grad,Exec-managerial,Male,45,1869.366188,>50K
47,Self-emp-not-inc,Bachelors,Exec-managerial,Male,60,1869.366188,<=50K
40,Self-emp-not-inc,HS-grad,Farming-fishing,Male,70,1869.366188,<=50K
19,Private,Some-college,Other-service,Female,10,1869.366188,<=50K
42,Private,Some-college,Prof-specialty,Female,50,1869.366188,>50K
41,Private,Bachelors,Adm-clerical,Female,40,1869.366188,<=50K
28,Private,10th,Machine-op-inspct,Male,45,1869.366188,<=50K
24,Private,HS-grad,Handlers-cleaners,Male,40,1869.366188,<=50K
32,Private,11th,Machine-op-inspct,Male,40,1869.366188,<=50K
29,Private,HS-grad,Protective-serv,Male,40,1869.366188,<=50K
49,Private,HS-grad,Other-service,Female,40,1869.366188,>50K
31,Private,10th,Machine-op-inspct,Male,40,1869.366188,<=50K
23,Private,11th,Machine-op-inspct,Male,40,1869.366188,<=50K
37,Private,HS-grad,Exec-managerial,Male,40,1869.366188,<=50K
29,Private,10th,Other-service,Male,40,1869.366188,<=50K
35,Local-gov,Masters,Prof-specialty,Female,35,1869.366188,>50K
40,Private,Assoc-acdm,Adm-clerical,Female,40,1869.366188,<=50K
66,Private,5th-6th,Handlers-cleaners,Female,40,1869.366188,<=50K
30,Federal-gov,9th,Tech-support,Male,40,1869.366188,<=50K
47,Private,9th,Other-service,Female,50,1869.366188,<=50K
45,Private,Masters,Adm-clerical,Female,40,1869.366188,<=50K
31,Private,Some-college,Machine-op-inspct,Male,40,1869.366188,<=50K
32,Private,Bachelors,Adm-clerical,Male,40,1869.366188,<=50K
28,Private,Assoc-acdm,Handlers-cleaners,Male,40,1869.366188,<=50K
50,Federal-gov,HS-grad,Adm-clerical,Male,40,1869.366188,>50K
63,Private,7th-8th,Sales,Female,40,1869.366188,<=50K
28,Private,Bachelors,Adm-clerical,Male,40,1869.366188,<=50K
38,Self-emp-inc,Prof-school,Prof-specialty,Male,40,1869.366188,>50K
50,State-gov,Masters,Prof-specialty,Male,38,1869.366188,<=50K
59,Private,11th,Machine-op-inspct,Male,40,1869.366188,<=50K
32,Private,HS-grad,Sales,Male,49,1869.366188,<=50K
52,Self-emp-inc,HS-grad,Exec-managerial,Male,38,1869.366188,<=50K
57,Private,HS-grad,Exec-managerial,Male,60,1869.366188,<=50K
51,Private,Bachelors,Transport-moving,Male,56,1869.366188,>50K
22,Private,11th,Sales,Female,35,1869.366188,<=50K
49,Private,HS-grad,Sales,Male,40,1869.366188,>50K
22,Private,HS-grad,Handlers-cleaners,Male,40,1869.366188,<=50K
48,Private,HS-grad,Craft-repair,Female,40,1869.366188,<=50K
43,State-gov,Bachelors,Adm-clerical,Male,50,1869.366188,>50K
25,Private,7th-8th,Handlers-cleaners,Male,40,1869.366188,<=50K
31,Private,7th-8th,Craft-repair,Male,40,1869.366188,<=50K
19,Private,Some-college,Sales,Male,36,1869.366188,<=50K
51,Private,HS-grad,Transport-moving,Male,84,1869.366188,>50K
37,Local-gov,HS-grad,Adm-clerical,Female,35,1869.366188,<=50K
19,Private,Some-college,Sales,Female,30,1869.366188,<=50K
45,Private,HS-grad,Transport-moving,Female,55,1869.366188,<=50K
21,State-gov,Some-college,Other-service,Male,10,1869.366188,<=50K
52,Private,HS-grad,Sales,Female,40,1869.366188,<=50K
46,Local-gov,Some-college,Prof-specialty,Male,24,1869.366188,<=50K
42,State-gov,Masters,Prof-specialty,Female,38,1869.366188,<=50K
58,Private,Masters,Sales,Male,40,1869.366188,<=50K
70,Private,HS-grad,Farming-fishing,Male,30,1869.366188,<=50K
30,Private,Some-college,Adm-clerical,Male,40,1869.366188,<=50K
45,Private,Bachelors,Adm-clerical,Male,40,1869.366188,<=50K
23,Private,Some-college,Craft-repair,Male,44,1869.366188,<=50K
38,Private,Bachelors,Craft-repair,Female,40,1869.366188,<=50K
24,Private,Assoc-voc,Craft-repair,Male,40,1869.366188,<=50K
53,Private,7th-8th,Transport-moving,Male,40,1869.366188,<=50K
23,Private,9th,Handlers-cleaners,Male,36,1869.366188,<=50K
28,Private,Bachelors,Craft-repair,Male,50,1869.366188,<=50K
29,Self-emp-not-inc,HS-grad,Transport-moving,Male,45,1869.366188,<=50K
25,Local-gov,Bachelors,Prof-specialty,Female,40,1869.366188,<=50K
44,State-gov,Masters,Prof-specialty,Female,60,1869.366188,<=50K
18,Private,HS-grad,Other-service,Female,8,1869.366188,<=50K
26,Private,HS-grad,Other-service,Male,24,1869.366188,<=50K
47,Local-gov,Assoc-acdm,Adm-clerical,Female,35,1869.366188,>50K
46,Private,Some-college,Machine-op-inspct,Male,40,1869.366188,<=50K
25,Private,HS-grad,Craft-repair,Male,40,1869.366188,<=50K
38,Local-gov,HS-grad,Protective-serv,Male,54,1869.366188,>50K
23,Private,Some-college,Other-service,Male,20,1869.366188,<=50K
36,Federal-gov,HS-grad,Adm-clerical,Female,48,1869.366188,<=50K
46,Private,9th,Other-service,Male,25,1869.366188,<=50K
32,Self-emp-not-inc,Bachelors,Prof-specialty,Male,45,1869.366188,>50K
40,Private,10th,Transport-moving,Male,40,1869.366188,<=50K
31,Private,Some-college,Exec-managerial,Male,65,1869.366188,>50K
32,State-gov,Bachelors,Adm-clerical,Male,37,1869.366188,<=50K
21,Private,Some-college,Other-service,Male,10,1869.366188,<=50K
63,Private,Some-college,Sales,Male,40,1869.366188,>50K
44,Private,Some-college,Exec-managerial,Male,45,1869.366188,>50K
42,Self-emp-not-inc,Bachelors,Sales,Male,60,1869.366188,<=50K
30,Private,Some-college,Adm-clerical,Female,45,1869.366188,<=50K
24,Private,HS-grad,Other-service,Male,40,1869.366188,<=50K
44,Self-emp-not-inc,HS-grad,Prof-specialty,Female,40,1869.366188,>50K
27,Federal-gov,Bachelors,Exec-managerial,Male,48,1869.366188,<=50K
27,Local-gov,Some-college,Exec-managerial,Male,40,1869.366188,<=50K
22,Private,HS-grad,Other-service,Female,45,1869.366188,<=50K
68,Private,HS-grad,Sales,Female,40,1869.366188,<=50K
55,Self-emp-not-inc,Some-college,Farming-fishing,Male,99,1869.366188,>50K
22,Self-emp-not-inc,HS-grad,Other-service,Male,40,1869.366188,<=50K
25,Private,Some-college,Exec-managerial,Female,15,1869.366188,<=50K
68,Self-emp-not-inc,HS-grad,Farming-fishing,Male,45,1869.366188,<=50K
62,Private,Some-college,Exec-managerial,Female,16,1869.366188,<=50K
68,Private,Some-college,Sales,Male,40,1869.366188,<=50K
42,Local-gov,Bachelors,Exec-managerial,Male,45,1869.366188,>50K
45,Private,Bachelors,Sales,Male,55,1869.366188,<=50K
26,Private,11th,Transport-moving,Male,40,1869.366188,<=50K
25,Private,HS-grad,Machine-op-inspct,Male,45,1869.366188,<=50K
23,Private,Bachelors,Prof-specialty,Male,50,1869.366188,<=50K
65,Without-pay,7th-8th,Farming-fishing,Female,50,1869.366188,<=50K
31,Private,HS-grad,Transport-moving,Male,50,1869.366188,<=50K
39,Private,Some-college,Craft-repair,Male,50,1869.366188,>50K
44,Private,HS-grad,Machine-op-inspct,Male,40,1869.366188,>50K
26,Self-emp-not-inc,Masters,Prof-specialty,Female,50,1869.366188,<=50K
26,Private,10th,Transport-moving,Male,35,1869.366188,<=50K
36,Private,9th,Transport-moving,Male,50,1869.366188,<=50K
38,Private,11th,Craft-repair,Male,45,1869.366188,<=50K
39,Private,HS-grad,Machine-op-inspct,Male,48,1869.366188,<=50K
52,Self-emp-inc,Prof-school,Exec-managerial,Male,40,1869.366188,<=50K
39,Private,1st-4th,Craft-repair,Male,45,1869.366188,<=50K
41,Self-emp-not-inc,Some-college,Craft-repair,Male,40,1869.366188,<=50K
47,Private,Bachelors,Sales,Male,70,1869.366188,<=50K
28,Local-gov,Assoc-voc,Protective-serv,Male,46,1869.366188,<=50K
25,Local-gov,Bachelors,Prof-specialty,Male,35,1869.366188,<=50K
32,Private,HS-grad,Adm-clerical,Female,40,1869.366188,<=50K
38,Private,Masters,Craft-repair,Male,40,1869.366188,>50K
44,Private,Some-college,Tech-support,Male,18,1869.366188,>50K
27,Private,Bachelors,Sales,Female,40,1869.366188,<=50K
30,Private,Bachelors,Exec-managerial,Male,55,1869.366188,>50K
20,Private,HS-grad,Craft-repair,Male,40,1869.366188,<=50K
57,Private,Masters,Prof-specialty,Male,80,1869.366188,<=50K
43,Private,Some-college,Adm-clerical,Male,48,1869.366188,<=50K
28,Private,7th-8th,Machine-op-inspct,Female,48,1869.366188,<=50K
25,Private,HS-grad,Tech-support,Female,48,1869.366188,>50K
90,Private,Bachelors,Exec-managerial,Male,45,1869.366188,<=50K
38,Local-gov,Bachelors,Prof-specialty,Male,40,1869.366188,<=50K
35,Private,Bachelors,Exec-managerial,Female,40,1869.366188,<=50K
50,State-gov,Bachelors,Exec-managerial,Male,40,1869.366188,>50K
26,Local-gov,HS-grad,Adm-clerical,Female,40,1869.366188,<=50K
39,Private,Some-college,Farming-fishing,Male,45,1869.366188,<=50K
56,Private,10th,Sales,Male,40,1869.366188,<=50K
24,Local-gov,HS-grad,Protective-serv,Female,40,1869.366188,<=50K
18,Local-gov,11th,Adm-clerical,Female,25,1869.366188,<=50K
43,State-gov,HS-grad,Adm-clerical,Female,40,1869.366188,<=50K
29,State-gov,Bachelors,Prof-specialty,Male,25,1869.366188,<=50K
40,Private,Masters,Exec-managerial,Male,40,1869.366188,>50K
44,Self-emp-not-inc,Bachelors,Exec-managerial,Male,40,1869.366188,<=50K
77,Local-gov,HS-grad,Exec-managerial,Male,6,1869.366188,<=50K
30,Private,Bachelors,Prof-specialty,Male,40,1869.366188,<=50K
66,Private,10th,Protective-serv,Male,40,1869.366188,<=50K
40,Private,11th,Transport-moving,Male,35,1869.366188,<=50K
68,Private,HS-grad,Sales,Male,40,1869.366188,<=50K
64,Private,HS-grad,Other-service,Female,38,1869.366188,<=50K
26,Private,Bachelors,Prof-specialty,Female,50,1869.366188,<=50K
32,Private,Some-college,Exec-managerial,Male,40,1869.366188,>50K
32,Private,HS-grad,Adm-clerical,Male,38,1869.366188,<=50K
49,Private,Bachelors,Sales,Male,50,1869.366188,>50K
28,Private,Bachelors,Transport-moving,Male,20,1869.366188,<=50K
29,Private,HS-grad,Other-service,Female,36,1869.366188,<=50K
21,Private,Some-college,Sales,Male,30,1869.366188,<=50K
28,Private,HS-grad,Adm-clerical,Female,40,1869.366188,<=50K
55,Private,10th,Craft-repair,Male,40,1869.366188,<=50K
45,Self-emp-not-inc,HS-grad,Sales,Male,50,1869.366188,>50K
30,Private,HS-grad,Other-service,Male,55,1869.366188,<=50K
33,Private,HS-grad,Sales,Male,20,1869.366188,<=50K
23,Private,Bachelors,Exec-managerial,Male,40,1869.366188,<=50K
48,Self-emp-not-inc,11th,Farming-fishing,Male,50,1869.366188,>50K
39,Local-gov,10th,Handlers-cleaners,Male,40,1869.366188,<=50K
53,Local-gov,Prof-school,Prof-specialty,Female,50,1869.366188,<=50K
49,Federal-gov,HS-grad,Adm-clerical,Male,40,1869.366188,>50K
31,Private,Bachelors,Exec-managerial,Female,40,1869.366188,<=50K
54,Self-emp-inc,Some-college,Sales,Male,45,1869.366188,>50K
34,Private,HS-grad,Craft-repair,Male,50,1869.366188,<=50K
30,Private,Some-college,Sales,Female,35,1869.366188,<=50K
19,Private,HS-grad,Priv-house-serv,Female,45,1869.366188,<=50K
26,Private,HS-grad,Handlers-cleaners,Male,40,1869.366188,<=50K
47,Private,Some-college,Sales,Male,70,1869.366188,>50K
50,Private,HS-grad,Exec-managerial,Male,38,1869.366188,<=50K
30,Private,Bachelors,Exec-managerial,Female,45,1869.366188,>50K
44,Private,Some-college,Machine-op-inspct,Male,50,1869.366188,<=50K
49,Private,HS-grad,Sales,Male,60,1869.366188,>50K
75,Self-emp-not-inc,Masters,Prof-specialty,Female,50,1869.366188,<=50K
37,Private,Bachelors,Sales,Male,55,1869.366188,>50K
51,State-gov,HS-grad,Craft-repair,Male,38,1869.366188,<=50K
35,Private,HS-grad,Craft-repair,Male,35,1869.366188,<=50K
72,Private,9th,Exec-managerial,Female,48,1869.366188,>50K
39,Private,Bachelors,Sales,Male,50,1869.366188,<=50K
27,Private,HS-grad,Farming-fishing,Male,30,1869.366188,<=50K
57,Private,Some-college,Adm-clerical,Female,40,1869.366188,<=50K
28,Private,HS-grad,Craft-repair,Male,70,1869.366188,<=50K
23,Private,Some-college,Other-service,Female,50,1869.366188,<=50K
23,Private,Some-college,Other-service,Female,20,1869.366188,<=50K
31,Private,Some-college,Other-service,Female,40,1869.366188,<=50K
27,Local-gov,Bachelors,Prof-specialty,Female,40,1869.366188,<=50K
31,Private,Prof-school,Prof-specialty,Female,80,1869.366188,<=50K
23,Private,11th,Craft-repair,Male,40,1869.366188,<=50K
24,Local-gov,Assoc-acdm,Other-service,Female,40,1869.366188,<=50K
36,Private,Doctorate,Prof-specialty,Male,40,1869.366188,<=50K
32,Private,Some-college,Other-service,Male,40,1869.366188,<=50K
35,Private,Assoc-acdm,Other-service,Female,40,1869.366188,<=50K
36,Private,Bachelors,Exec-managerial,Male,40,1869.366188,<=50K
47,Private,Assoc-voc,Machine-op-inspct,Male,40,1869.366188,>50K
44,Federal-gov,Some-college,Tech-support,Male,40,1869.366188,<=50K
32,State-gov,Masters,Prof-specialty,Male,50,1869.366188,<=50K
34,Private,Assoc-voc,Craft-repair,Male,40,1869.366188,<=50K
27,Private,11th,Sales,Male,35,1869.366188,<=50K
23,Private,HS-grad,Exec-managerial,Female,42,1869.366188,<=50K
50,Private,10th,Craft-repair,Male,38,1869.366188,<=50K
49,State-gov,Some-college,Prof-specialty,Male,40,1869.366188,<=50K
61,Private,7th-8th,Other-service,Female,38,1869.366188,<=50K
41,Private,Some-college,Farming-fishing,Male,16,1869.366188,<=50K
27,Self-emp-not-inc,Bachelors,Exec-managerial,Male,60,1869.366188,>50K
53,Private,Bachelors,Exec-managerial,Male,70,1869.366188,<=50K
17,Self-emp-not-inc,10th,Adm-clerical,Male,10,1869.366188,<=50K
24,Private,Bachelors,Prof-specialty,Female,40,1869.366188,<=50K
22,Private,Some-college,Adm-clerical,Female,20,1869.366188,<=50K
53,Private,Bachelors,Sales,Male,50,1869.366188,>50K
24,Private,Some-college,Sales,Male,50,1869.366188,<=50K
20,Private,HS-grad,Sales,Female,40,1869.366188,<=50K
30,Local-gov,7th-8th,Transport-moving,Male,40,1869.366188,<=50K
19,Private,HS-grad,Handlers-cleaners,Male,30,1869.366188,<=50K
20,Private,12th,Adm-clerical,Female,40,1869.366188,<=50K
22,Private,Bachelors,Prof-specialty,Female,40,1869.366188,<=50K
60,Private,Some-college,Adm-clerical,Female,40,1869.366188,<=50K
32,Private,HS-grad,Priv-house-serv,Female,40,1869.366188,<=50K
46,Private,HS-grad,Exec-managerial,Male,40,1869.366188,>50K
66,Private,HS-grad,Adm-clerical,Female,40,1869.366188,<=50K
37,Private,Bachelors,Other-service,Female,30,1869.366188,>50K
34,Private,Some-college,Exec-managerial,Male,44,1869.366188,<=50K
45,Private,Bachelors,Prof-specialty,Male,46,1869.366188,<=50K
35,Private,11th,Farming-fishing,Male,40,1869.366188,<=50K
51,Local-gov,Some-college,Exec-managerial,Male,40,1869.366188,>50K
36,Local-gov,Some-college,Protective-serv,Male,40,1869.366188,>50K
25,Federal-gov,HS-grad,Adm-clerical,Male,40,1869.366188,<=50K
51,Private,HS-grad,Other-service,Female,38,1869.366188,<=50K
25,Self-emp-not-inc,Some-college,Machine-op-inspct,Male,40,1869.366188,<=50K
19,Private,HS-grad,Farming-fishing,Male,45,1869.366188,<=50K
47,Private,Some-college,Exec-managerial,Male,45,1869.366188,<=50K
59,Local-gov,HS-grad,Protective-serv,Female,40,1869.366188,<=50K
40,Private,Some-college,Exec-managerial,Female,60,1869.366188,<=50K
42,Private,HS-grad,Machine-op-inspct,Male,45,1869.366188,<=50K
51,Self-emp-inc,Assoc-acdm,Sales,Male,38,1869.366188,>50K
25,Private,HS-grad,Adm-clerical,Male,36,1869.366188,<=50K
31,Federal-gov,HS-grad,Adm-clerical,Female,40,1869.366188,>50K
37,Private,HS-grad,Other-service,Male,44,1869.366188,>50K
42,Private,Assoc-acdm,Sales,Male,45,1869.366188,>50K
35,Private,Some-college,Sales,Male,50,1869.366188,<=50K
51,Private,Bachelors,Sales,Male,47,1869.366188,>50K
26,Private,Bachelors,Prof-specialty,Male,16,1869.366188,<=50K
56,Local-gov,HS-grad,Adm-clerical,Female,46,1869.366188,<=50K
52,Private,Some-college,Prof-specialty,Male,45,1869.366188,>50K
61,Self-emp-not-inc,Masters,Craft-repair,Male,4,1869.366188,<=50K
47,State-gov,Bachelors,Exec-managerial,Female,40,1869.366188,>50K
52,Private,Assoc-voc,Craft-repair,Male,40,1869.366188,<=50K
30,Private,HS-grad,Craft-repair,Female,40,1869.366188,<=50K
35,Private,Some-college,Transport-moving,Male,40,1869.366188,<=50K
26,Private,Some-college,Craft-repair,Female,35,1869.366188,<=50K
58,Local-gov,HS-grad,Farming-fishing,Male,40,1869.366188,<=50K
30,Private,HS-grad,Protective-serv,Male,60,1869.366188,>50K
46,Private,Some-college,Adm-clerical,Female,40,1869.366188,<=50K
57,Private,HS-grad,Sales,Female,40,1869.366188,<=50K
25,Private,Bachelors,Exec-managerial,Male,40,1869.366188,<=50K
21,State-gov,Some-college,Tech-support,Female,10,1869.366188,<=50K
45,Local-gov,Masters,Prof-specialty,Female,30,1869.366188,<=50K
42,Private,HS-grad,Adm-clerical,Female,53,1869.366188,<=50K
20,Private,HS-grad,Machine-op-inspct,Female,40,1869.366188,<=50K
23,Private,HS-grad,Protective-serv,Male,16,1869.366188,<=50K
25,Private,Bachelors,Tech-support,Male,40,1869.366188,<=50K
47,Private,5th-6th,Priv-house-serv,Female,40,1869.366188,<=50K
24,Private,HS-grad,Sales,Male,45,1869.366188,<=50K
35,Private,HS-grad,Craft-repair,Male,70,1869.366188,<=50K
44,Local-gov,HS-grad,Other-service,Female,38,1869.366188,>50K
47,State-gov,Some-college,Prof-specialty,Male,50,1869.366188,<=50K
28,State-gov,11th,Adm-clerical,Female,40,1869.366188,<=50K
41,Local-gov,Masters,Prof-specialty,Female,60,1869.366188,<=50K
27,Private,Masters,Exec-managerial,Female,25,1869.366188,<=50K
61,Private,Some-college,Priv-house-serv,Female,40,1869.366188,<=50K
42,Federal-gov,Some-college,Adm-clerical,Female,40,1869.366188,<=50K
46,Private,HS-grad,Other-service,Female,28,1869.366188,<=50K
54,Local-gov,Masters,Prof-specialty,Female,38,1869.366188,<=50K
49,Private,HS-grad,Tech-support,Male,40,1869.366188,<=50K
56,Local-gov,Some-college,Adm-clerical,Female,40,1869.366188,<=50K
52,Private,Masters,Prof-specialty,Female,40,1869.366188,<=50K
25,Self-emp-not-inc,HS-grad,Craft-repair,Male,40,1869.366188,<=50K
18,Private,11th,Prof-specialty,Female,40,1869.366188,<=50K
58,Private,HS-grad,Machine-op-inspct,Male,40,1869.366188,<=50K
31,State-gov,Bachelors,Prof-specialty,Male,40,1869.366188,<=50K
29,Private,Some-college,Craft-repair,Male,55,1869.366188,<=50K
28,Private,11th,Machine-op-inspct,Male,40,1869.366188,<=50K
30,Private,Some-college,Adm-clerical,Male,48,1869.366188,<=50K
75,Private,10th,Priv-house-serv,Female,70,1869.366188,<=50K
33,Self-emp-inc,Bachelors,Sales,Male,50,1869.366188,>50K
47,Self-emp-not-inc,5th-6th,Sales,Male,55,1869.366188,>50K
21,Private,Some-college,Other-service,Female,37,1869.366188,<=50K
17,Private,11th,Craft-repair,Male,17,1869.366188,<=50K
22,Private,Some-college,Other-service,Female,15,1869.366188,<=50K
47,Private,HS-grad,Sales,Male,40,1869.366188,<=50K
32,Self-emp-not-inc,Assoc-voc,Sales,Male,50,1869.366188,<=50K
59,Private,10th,Priv-house-serv,Female,30,1869.366188,<=50K
38,Private,HS-grad,Craft-repair,Male,50,1869.366188,<=50K
33,Private,HS-grad,Protective-serv,Female,40,1869.366188,<=50K
51,Private,9th,Transport-moving,Male,40,1869.366188,<=50K
42,Private,HS-grad,Sales,Male,48,1869.366188,<=50K
27,Private,Bachelors,Prof-specialty,Female,40,1869.366188,>50K
60,Private,Some-college,Craft-repair,Male,45,1869.366188,<=50K
64,Local-gov,HS-grad,Adm-clerical,Female,35,1869.366188,<=50K
37,Private,Assoc-acdm,Machine-op-inspct,Male,40,1869.366188,>50K
54,Self-emp-not-inc,Bachelors,Exec-managerial,Male,45,1869.366188,>50K
36,Private,Assoc-acdm,Exec-managerial,Female,50,1869.366188,>50K
34,Private,Bachelors,Prof-specialty,Male,40,1869.366188,>50K
41,Self-emp-not-inc,Masters,Sales,Male,5,1869.366188,>50K
35,Self-emp-not-inc,7th-8th,Farming-fishing,Male,75,1869.366188,<=50K
63,Self-emp-inc,Masters,Sales,Male,68,1869.366188,>50K
47,Self-emp-not-inc,Masters,Prof-specialty,Male,40,1869.366188,<=50K
24,Private,Bachelors,Machine-op-inspct,Male,65,1869.366188,<=50K
29,Private,Some-college,Sales,Male,30,1869.366188,<=50K
74,Federal-gov,Some-college,Transport-moving,Female,18,1869.366188,<=50K
50,Private,11th,Transport-moving,Male,70,1869.366188,>50K
22,Private,Some-college,Adm-clerical,Female,40,1869.366188,<=50K
48,Private,12th,Adm-clerical,Female,40,1869.366188,<=50K
30,Private,9th,Handlers-cleaners,Male,40,1869.366188,<=50K
25,Private,Bachelors,Adm-clerical,Female,40,1869.366188,<=50K
50,Private,Bachelors,Adm-clerical,Female,40,1869.366188,>50K
44,Private,HS-grad,Transport-moving,Male,40,1869.366188,<=50K
28,Federal-gov,Assoc-acdm,Adm-clerical,Male,60,1869.366188,<=50K
49,Local-gov,Bachelors,Prof-specialty,Female,50,1869.366188,<=50K
31,Private,HS-grad,Exec-managerial,Female,12,1869.366188,<=50K
45,Private,HS-grad,Transport-moving,Male,40,1869.366188,>50K
35,Private,HS-grad,Other-service,Female,40,1869.366188,<=50K
34,Self-emp-not-inc,Bachelors,Sales,Male,60,1869.366188,<=50K
49,Local-gov,HS-grad,Protective-serv,Male,40,1869.366188,<=50K
27,Private,HS-grad,Other-service,Female,42,1869.366188,<=50K
